Indonesian,Minangkabau
dorong,tundo
dorongan,anjuaran
dorongan,dasakan
dorongan,tuhuak
dosa,doso
dosa,kasalahan
download,download
drama,carito
drama,kajadian
drama,kisah
dua,duo
dua kali,duo kali
dua kali lipat,duo kali lipek
dua puluh,duo puluah
duabelas,duo baleh
duduk,duduak
duduk,duduk
duduk,duduok
duduklah,duduaklah
duduklah,duduiklah
duduklah,duduoklah
dukun,dukun
dukungan,dakuang
dukungan,sokoang
dulu,dahulu
dulu,daulu
dulu,dulu
dulu,dulua
dulu,kapatang
dulu,saisuak
dulu,"taisuak, dulu"
duluan,dahulu
duluan,dulu
duluan,duluan
duluan,duluh lah
duluan,dululah
duluan,kamuko
duluan,lanjuik
dunia,dunia
duta,duta
duta,utusan
dvd,kaset
edisi,kaluaran
efek,akibaik
efek,efek
efek,kasan
efek,pengaruah
ekor,ekor
ekor,ikua
ekstrim,estrim
elektris,elektris
emas,ameh
emas,arato dunia
emas,sasuatu nan baarago
emas,uang suok
emosi,emosi
emosional,emosional
empat,ampek
empat belas,ampek baleh
empatpuluh,ampek puluah
enak,enak
enak,lamak
enak,lomak
enak,sero
enam,anam
enambelas,anam baleh
enampuluh,anam puluah
entah,antah
entah,antahlah
entah,entah
entah,ontah
entah,ontahlah
entahlah,antahlah
entahlah,antalah
entahlah,indak taulah
entahlah,indaklah
entahlah,ontahlah
entahlah,ontalah
es,aia baku
es,aia mambatu
es,es
es krim,eskrim
etis,etis
eyang,enek
fakta,kanyataan
fakta,pakta
fantasi,angan-angan
fantasi,pantasi
fantastis,fantastis
farmasi,apotek
farmasi,rumah ubek
fase,fase
fase,tahap
fasilitas,kaentengan
fasilitas,karinganan
fasilitas,pasilitas
fatal,bisa mamatian
fatal,sangaik babahayo
favorit,disanangi
favorit,juaro
favorit,kasayangan
februari,februari
fenomena,kaajaikan
fenomena,kanyataan
fenomena,pakta
fenomena,suatu nan lua biaso
fenomena,tando-tando
fiksi,angan-angan
fiksi,carito kayalan
fiksi,carito rekaan
fiksi,kayalan
film,pilem
firman,pirman
fisik,badan
fisik,jasmani
flash,fles
fleksibel,fleksibel
formal,pandidikan rasmi
formal,pendidikan
formula,ramuan
formula,rumusan
formulir,pormulir
formulir,surek balangko
formulir,surek isian
foto,bayangan
foto,gambaran
foto,poto
foto,potorek
gabungan,gabuangan
gabungan,himpunan
gabungan,ikek
gabungan,kabek
gabungan,pakumpualan
gadis,anak gadih
gadis,gadih
gadis,parawan
gagak,buruang gagak
gagal,gagal
gagal,indak bahasil
gagal,meleset
gagal,oroang
gairah,ingin
gairah,kainginan
gajah,gajah
gaji,gaji
gaji,upah
gak,dak
gak,gak
gak,indak
gak,ndak
galah,penggalan
gambar,gamba
gambar,lukih
gambar kartun,gamba kartun
ganas,bueh
gandum,gandum
gandum,tarigu
gang,jalan ketek
gang,lorong
gangguan,alangan
gangguan,gangguan
gangguan,rintangan
ganteng,coga
ganti,ganti
ganti,gonti
ganti,tuka
ganti,tukar
gantungan,gantuangan
gantungan,sangkutan
garasi,kandang oto
garis,garih
garis besar,garih gadang
garpu,sendok garapu
gas,gaih
gas,gas
gaun,baju gaun
gaya,gagah
gaya,gaya
gaya,lagak
gaya,ragam (caro dsb)
gaya,sikap nan elok
gaya hidup,gaya iduik
gedung,aula
gedung,balai
gedung,gaduang
gedung,gaduong
gedung,gedung
gelang,galang
gelanggang,galanggang
gelap,galek
gelap,galok
gelap,gelap
gelap,golap
gelap,kalam
gelap,kalom
gelar,gala
gelar,kabangawanan
gelar,kaoromatan
gelas,galeh
gelas,kaco
gelembung,galambuang
gelisah,galisah
gelombang,galombang
gelombang,ombak
gelombang,sakalompok
gembira,sanang
gempa,gampo
gempa bumi,gompo 
generasi,angkatan
generasi,generasi
generasi,katurunan
generator,generator
geng,geng
geng,kalompok parewa
geng,kalompok pemudo
gerak,garak
gerak,garik
gerakan,garakan
gerakan,pagarakan
gerakan,usao
gerbang,pintu gerabang
gerbong,garobak kareta api
gerbong,gerbong
gereja,gareja
gergaji,arik
gergaji,garagaji
gerhana,garahano
gerhana,gurano
gerhana,kasusahan
gerhana,pikiaran kaluaik
gigi,gigi
gigi,kakuasoan
gigi,kakuatan
gila,gilo
giliran,giliaran
giliran,legaran
ginjal,buah pinggang
global,global
godaan,dayoan
godaan,gangguan
godaan,godaan
godaan,rayuan
gol,barasia
gol,bola masuak gawang
gol,gawang
gol,gol
gol,mandapek
gol,tacapai mukasuik
golf,goloh
golongan,golongan
golongan,kalompok
golongan,puak
goresan,goreh
got,lakuak mamanjang
got,lubang
got,parik
got,tarusan
grafik,grafik
gratis,gratis
grup,angkatan
grup,kalompok
gua,guo
gua,ngalau
gudang,gudang
gugatan,dawa
gugatan,gugatan
gugup,gugup
gugus kalimat,guguih kalimaik
gula,gulo
guling,guliang
gulungan,gulungan
gulungan,gumpalan
gulungan,kumparan
gulungan,puntalan
guna,guno
guna,mampaaik
guna,paidah
gunakan,guno'an
gunakan,gunoan
gunakan,gunokan
gunakan,pagunokan
gunakan,pakai
gunanya,gunanyo
gunanya,gunonya
gunanya,gunonyo
gunanya,pagunoan
gunting,guntiang
gunting,mode
guntur,guruah
gunung,gunuang
guru,guru
gym,gym
habis,abih
habis,habi
habis,habiah
habis,habih
hadiah,adiah
hadirin,hadirin
hadirin,sadonyo nan adia
hai,hai
hak,bana
hak,darajaik
hak,hak
hak,miliak
hakim,hakim
hakim,juri
hakim,pangadialan
hal,dek
hal,hal
hal,pasal
halaman,alai
halaman,alaman
halaman,laman
halangan,alangan
halangan,rintangan
halo,halo
hama,amo
hama,bibik panyakik
hamba,ambo
hamba,budak balian
hamba,iyo
hambatan,ambatan
hambatan,rintangan alangan
hampir,ampia
hampir,ampiah
hampir,ampie
hampir,hampi
hampir,hampia
hampir,hampie
hampir tidak,hampia indak
hancur,ancu
hancur,ancua
hancur,ancuah
hancur,hancua
hancur,hancuah
hancur,hancuo
hancur,pacah
handuk,anduak
hantu,antu
hantu,kulambai
hantu,singiang-ngiang
hanya,anyo
hanya,hanyo
hanyalah,anyolah
hanyalah,hanyola
hanyalah,hanyolah
hanyalah,inyolah
harap,arok
harap,harok
harapan,arapan
harapan,kainginan
harapan,nan diarokan
harga,arago
harga,ki guno
harga,paidah
harga,rago
hari,ari
hari ini,hari ko
harimau,arimau
harimau,inyiak
harta,arato
harta,kakayoan
harta,rato
harus,haruih
harus,harus
harus,musiti
harus,musti
harus,tak buloh indak
harus,wajib
harus modal,haarus modal
haruskah,haruih yo
haruskah,haruihkah
haruskah,harus lo
haruskah,haruskah
haruskah,harusnyo
haruskah,mestikah
haruskah,mestinyo
haruskah,musiti
haruskah,musitikah
haruskah,mustikah
harusnya,haruihnyo
harusnya,harusnya
harusnya,harusnyo
harusnya,mestinyo
harusnya,musitinyo
harusnya,mustinyo
harusnya,seeloknyo
hasil,asia
hasil,hasia
hasil,hasiah
hasil,hasial
hasil,hasil
hasil,upah
hasrat,kainginan
hasrat,kandak
hati,ati
hati,jantung
hati-hati,elok-elok
haus,awih
hebat,coga
hebat,hebaik
hebat,"hebaik, santiang"
hebat,hebat
hebat,mantap
hebat,santiak
hebat,santiang
hei,hei
helikopter,helikopter
hentikan,antian
hentikan,baranti
hentikan,barantian
hentikan,barantikan
hentikan,berantian
hentikan,hantian
hentikan,hantikan
hentikan,larai
hewan,binatang
hewan,hewan
hiasan,iasan
hibah,agiah 
hidung,iduang
hidup,bakilek
hidup,iduik
hidup,nyalo
hidup,tingga
hidupnya,hiduiknyo
hidupnya,hidupnyo
hidupnya,iduiknyo
hijau,hijau
hijau,ijau
hilang,hilang
hilang,ilang
hilang,lanyap
hilang,lonyap
hingga,hingga
hingga,hinggo
hingga,inggo
hingga,sahinggo
hingga,sampai
hitam,hitam
hitam,itam
hitam,kalek
hitam,kaliang
hitungan,bilangan
hitungan,etongan
hiu,ikan iyu
hobi,kasukoan
hormat,aromaik
hormat,hormaik
hormat,hormat
hormat,hormek
hormat,horomat
hotel,hotel
hotel,otel
hubungan,ubungan
hubungannya,hubuangannyo
hubungannya,hubungan nyo
hubungannya,hubungannyo
hubungannya,hubunganyo
hubungannya,ubungannyo
hubungi,hubuangi
hubungi,hubungi
hubungi,imbau
hubungi,mahubungi
hujan,ujan
hukum,atuaran
hukum,katantuan
hukum,ukum
hukum,ukun
hukuman,ukuman
hulu,kapalo
hulu,muko
huruf,huruf
huruf,uruih
hutan,rimbo
hutan,utan
iba,ibo
iblis,ibilih
iblis,ruah jaek
iblis,setan
ibu,amai
ibu,amak
ibu,ampu
ibu,induak
ibu,mande
ibumu,amak ang
ibumu,amak'ang
ibumu,amak-ang
ibumu,amakang
ibumu,amakmu
ibumu,bundo
ibumu,mande 
ibumu,mande ang
ibumu,mandeh ang
ibunya,amak ang
ibunya,amak nyo
ibunya,amaknyo
ibunya,bundonyo
ibunya,induk
ibunya,mak ang
ibunya,mande nyo
ibunya,mandehnyo
ibunya,mandenyo
ide,ide
ide,pamikiran
identitas,bukti diri
identitas,hal pembayang
identitas,identitas
identitas,tando bukti
ikan,ikan
ikan,lauak
ikatan,ikatan
ikatan,ikek
ikatan,kabek
ikatan,susunan
iklan,iklan
iklan,pambaritauan
iklan,raklame
iklim,kaadaan cuaco
iklim,kaadaan udaro
ikut,ikui
ikut,ikuik
ikut,ikuy
ikut,soto
ikuti,ikuik
ikuti,ikuik an
ikuti,ikuik'an
ikuti,ikuikan
ikuti,ikuti
ikuti,maikua
ikuti,mangikuikan
ikuti,soto
ikuti,turuik
ilegal,ilegal
ilegal,indak manuruik ukum
ilegal,indak sah
ilmu,ilimu
ilmuwan,ilmuwan
ilusi,palasu kayalan
imajinasi,kayalan
imajiner,angan-angan
impian,angan-angan
impian,idaman
impresif,impresip
indah,ancak
indah,elok
indah,indah
indah,indo
indah,rancak
indah,rancak bana
individu,diri sandiri
individu,indipidu
individu,paribadi
industri,parusaoan
informasi,katarangan
informasi,panarangan
ingat,ingek
ingat,kana
ingat,takana
ingat,takonang
ingatan,ingatan
ingatan,pangana
ingatan,pikiran
ingin,andak
ingin,bakahandak
ingin,ingin
ingin,"inyo,nio,inyaw"
ingin,kapingin
ingin,katuju
ingin,nio
ingin,ondak
inginkan,bakandak
inginkan,harok an
inginkan,inginan
inginkan,kandak'an
inginkan,nio
inginkan,nio bana
inginkan,niokan
inginkan,taragak
ini,ike
ini,iko
inilah,ikelah
inilah,iko
inilah,ikolah
insan,insan
insan,manusia
insiden,insiden
insiden,kajadian
inspektur,inspektur
inspektur,pajabaik pamarentah
inspektur,paniliak
inspirasi,ilham
install,instal
instruksi,palajaran
instruksi,pitunjuak
instrumen,alaik
instrumen,pakakeh
internet,internet
inti,inti
inti,sari
inti,sari pati
investigasi,pangusutan
investigasi,paniliakan
investigasi,panyalidiakan
isi,isi
islam,isilam
isolasi,isolasi
istana,istana
istana,istano
istimewa,istimewa
istimewa,istimewa/baharago
istimewa,istimewo
istimewa,tahormat
istirahat,istirahat
istirahat,lapeh panek
istirahat,tempo
istri,bini
istri,induak anak-anak
istri,induak bareh
istri,padusi
isu,kaba angin
isyarat,isaraik
itu,iko
itu,iten
itu,itu
itu,itua
itu,tu
itulah,itu
itulah,itulah
itulah,iyolah
itulah,mangkonyo
itulah,tulah
itulah,yolah
iya,iyo
izin,ijin
jadi,iyo
jadi,jadi
jadi,jadih
jadwal,jadwal
jadwal acara,jadwal acara
jaga,jago
jago,ayam jagoan
jago,juaro
jago,uang tamuko
jahat,jaek
jahat,jahaik
jahat,jahek
jaket,jeket
jaksa,jasa
jaksa,pagawai ukum
jaksa,panuntuik pakaro
jalan,caro
jalan,jala
jalan,pakambangan
jalan,paluang
jalan,puta
jalan kereta api,jalan kreta api
jalan masuk,jalan masuak
jalanan,jalanan
jalanan,labuah
jalang,jalang
jalang,lia
jalang,liar
jalang,menjalang
jalang,pelacur
jalang,poyok
jam,jam
jam,wakatu
jam tangan,jam tangan
jaminan,jaminan
jaminan,tangguangan
janda,jando
janda,rando
jangan,ijan
jangan,jan
jangan,jan lai
jangka panjang,jangko panjang
jangkrik,cingkariak
janji,jonji
jantung,jantuang
jantung,kakasiah
januari,januari
jarak,jarak
jari,jari
jaring,jalo
jaring,jariang
jaringan,bagan
jaringan,jalo
jaringan,jaringan
jaringan,sususan sel tubuah
jarum,jarun
jarum,pinjaik
jasa,daso
jasa,jariah
jasa,jaso
jasa,kauntuangan
jasa,mupaaik
jasa,paidah
jasad,badan
jasad,bagian dari zaik
jasad,jasaik
jasad,tubuah
jatah,jatah
jati,asali
jati,kayu jati
jati,sajati
jatuh,jatuah
jatuh,jatuoh
jatuh,tajalapak
jatuh,tajatuh
jatuhkan,campaan
jatuhkan,jatuah an 
jatuhkan,jatuah'an
jatuhkan,jatuahan
jatuhkan,jatuahkan
jauh,jauah
jauh,jauuh
jauh,jawuah
jauh,jawuoh
jawaban,jawapan
jawaban,jawauk
jeans,lepis
jeans,sarawa
jebakan,pamanciang
jebakan,panjarek
jebakan,panjariang
jejak,bakeh tapak kaki
jejak,jajak
jejak,ki kalakuan
jelas,jale
jelas,jaleh
jelas,joleh
jelaskan,jalean
jelaskan,jaleh an
jelaskan,jaleh'an
jelaskan,jalehan
jelaskan,jalehkan
jelaskan,jolehan
jelaskan,jolehkan
jelek,buruak
jelek,buruok
jelek,indak ancak
jelek,jelek
jembatan,jambatan
jembatan,ki paantaro
jemput,japuik
jendela,jandela
jendela,lubang angin
jendela,tingkok
jenderal,jenderal
jenderal,jindral
jenderal,perwira tinggi
jendral,jenderal
jendral,jindral
jendral,perwira tinggi
jenis,jinih
jenis,macam
jenis (peduli),jenis
jenius,bakaik lua biaso
jenius,genius
jenius,jenius
jerami,jarami
jernih,bacayo
jernih,barasiah
jernih,janiah
jernih,jilah
jernih,tacelak
jika,jiko
jika,jikok
jika,"jikok,jiko"
jika,kamungkinan
jika,umpamo
jika tidak,jiko indak
jilbab,jilbab
jimat,jimaik
jin,ibilih
jin,jihin
jin,jin
jin,setan
jiwa,angok
jiwa,batin
jiwa,jiwa
jiwa,nyao
judi,judi
juga,jua
juga,jugo
juga,juo
juga tidak,juo indak
jujur,jujua
jujur,jujuah
jujur,luruih
juli,juli
julukan,gala ejekan
julukan,gala kaaromaikan
jumat,jumaik
jumlah,jumalah
jumpa,basabok
jumpa,basuo
jumpa,batamu
jumpa,"dobok, jumpo"
jumpa,jumpo
jumpa,sobok
jumpa,suo
juni,bulan kaanam
juni,juni
jurang,juang
jurang,ngarai
juri,juri
juri,panitia nan manilai
jurnal,surek kaba
jurnalis,jurnalih
jurnalis,wartawan
juru potret,tukang poto
jurusan,arah
jurusan,jurusan
jurusan,tujuan
jus,jus
juta,juta
juta,juto
juta nomor,juta
kabar,barito
kabar,kaba
kabel,kabel
kabel,kawek
kabel,kawek gadang
kabur,kabua
kabur,kabuah
kabur,kabuor
kabur,kubua
kabur,lapeh
kabur,malarian
kaca,camin
kaca,kaco
kacamata,kacomato
kacau,ancua
kacau,berantakan
kacau,kaca
kacau,kacau
kadang,bilo
kadang,kadang
kadang,sasakali
kadang,takadang
kadar,kada
kadar,kakuatan
kadar,kuaso
kadar,kudaraik
kafe,lapau
kagum,kagum
kain,kain
kaisar,rajo
kakak,akak
kakak,kakak
kakek,datuak
kakek,inyiak
kaki,kaki
kaki,tungkai
kaki,ukuaran panjang
kalah,kala
kalah,kalah
kalah,kalah/ndak manang
kalau,andai
kalau,jiko
kalau,jikok
kalau,kalau
kalau,kok
kalender,almanak
kalender,kalender
kalimat,kalimaik
kalinya,kalinyo
kalinya,sakali
kalung,dukua
kalung,dukuah
kalung,kaluang
kamar,biliak
kamar mandi,kamar mandi
kamar tidur,biliak
kamar tidur,kamar
kamera,kamera
kamera,kodak
kamera,poterek
kami,awak
kami,kami
kami,kito
kamis,kamih
kampus,kampuih
kamu,ang
kamu,inyo
kamu,kau
kamu,wa'ang
kamu,waang
kamus,kamus
kanan,kanan
kanan,suok
kancing,buah baju
kandang,garasi
kandang,kampuang
kandang,kandang
kandang,nagari
kandang,tampek tingga
kandung,baisi
kandung,buntiang
kandung,manganduang
kandungan,kanduangan
kanker,kanker
kantin,kantin
kantin,lapau
kantong,kantong pitih
kantong,pundi-pundi
kantong,puro
kantong,sakuih baju
kantong,unjuik
kantor,kantua
kaos oblong,baju
kapal,kapa
kapan,bile
kapan,bilo
kapanpun,bilopun
kapas,kapeh
kapten,kapten
kapur,kapua
kapur,sadah
karakter,kulikaik
karakter,parangai
karakter,tabiat
karantina,karantin
karantina,karantina
karate,karate
karena,dek
karena,karano
karena,karno
karena,"karno, karano"
karena,karono
karena itu,dek itu
karet,batang gatah
karet,batang karet
karet,kajai
karir,karajo
karir,pangkek
karpet,karpet
kartu,karatu
kartu,kartu
kartun,kartu
karung,goni
karung,karuang
karung,sumpik
karunia,anugarah
karunia,karunia
karunia,pambarian
karya,asia karajo
karya,asia pabuatan
karya,buah karangan
karya,karajo
karyawan,karyawan
karyawan,pagawai
karyawan,pakarajo
kasar,kasa
kasar,kasar
kasar,kasau
kasih,kasiah
kasir,kasia
kasir,nan mamacik kas
kastil,rumah gadang
kasur,kasua
kasus,kasuih
kasus,pakaro
kasus,soal
kata,kato
kata,kecek
kata benda,kato benda
katakan,katoan
katakan,katokan
katakan,kecek
katakan,kecek an
katakan,kecek'an
katakan,kecekan
katakan,sabuikan
katakan,sabuikkan
katakan,sobuikan
katanya,katanyo
katanya,katonyo
katanya,keceknyo
katanya,"keceknyo, katonyo"
kategori,klasifikasi
kau,ang
kau,wa'ang
kau,waang
kaum,golongan
kaum,kaum
kaum,suku
kaus kaki,kaus
kawan,kanti
kawan,kawan
kawan,rekan
kawanan,sakalompok binatang
kawanan,sakumpulan urang
kawasan,kawasan
kawat,kawek
kaya,bapiti
kaya,barado
kaya,kayo
kayu,kayu
ke atas,kateh
ke bawah,kabawah
ke belakang,kalakang
keadaan,kaadaan
keadaan darurat,keadaan darurat
keadilan,kaadialan
keamanan,kaamanan
keamanan,keamanan
kebahagiaan,kabaruntuangan
kebaikan,kaelokan
kebakaran,kabakaran
kebanyakan,balabieh
kebanyakan,kabanyaan
kebanyakan,kabanyak an
kebanyakan,kabanyak'an
kebanyakan,kabanyakan
kebanyakan,kabayakan
kebanyakan,kasadonyo
kebanyakan,kebanyakan
kebanyakan,tabanyak
kebebasan,kabebasan
kebenaran,kabanaran
kebencian,banci
keberadaan,kabaradoan
keberangkatan,kabarangkek an
keberanian,kabaranian
keberatan,kabarek an
keberatan,kabarek'an
keberatan,kabarekan
keberatan,kaborekan
keberatan,kebarean
keberatan,separu hati
keberatan,taborek
kebersihan,kaasalian
kebersihan,kabarasiahan
kebersihan,kasucian
keberuntungan,kabaruntuangan
kebetulan,kabatua'an
kebetulan,kabatulan
kebetulan,kabetulan
kebetulan,paspulo
kebiasaan,kebiasoan
kebisingan,iruak-pikuak
kebisingan,kaributan
kebodohan,kabodohan
kebudayaan,budaya
kebudayaan,kabudayaan
kebugaran,kabugaran
kebun,kabun
kebun,palak
kebun,parak
kebutuhan,kabutuahan
kecantikan,karancak an
kecelakaan,bancano
kecelakaan,kacalakaan
kecelakaan,maro
kecelakaan,maro bayo
kecenderungan,kecendrungan
kecepatan,kacapatan
kecil,"kaciak, ketek"
kecil,kenek
kecil,kete
kecil,ketek
kecil,kocik
kecuali,kacuali
kecuali,kecuali
kecuali,salain
kecuali kalau,kacuali
kecurigaan,curiga
kecurigaan,kacurigaan
kedai,kadai
kedai,lapau
kedalaman,kadalaman
kedamaian,kadamaian
kedamaian,katanangan
kedatangan,barasa
kedatangan,datang
kedatangan,tibo
kedengarannya,kadangaan
kedengarannya,kadangaannyo
kedengarannya,kadangaanyo
kedengarannya,kadanganyo
kedengarannya,kadangarannyo
kedengarannya,tadanga
kedengarannya,tadanganyo
kedip mata,kijok
kedokteran,kadotoran
kedua,kadua
kedua,kaduo
keduanya,kaduonyo
kegagalan,kagagalan
kegelapan,malam nan kalam
kegembiraan,kasanangan
kegiatan,giaik
kegiatan,rajin
kehabisan,ka'abih'an
kehabisan,kaabihan
kehabisan,kaabisan
kehabisan,kahabiahan
kehabisan,kahabihan
kehabisan,kahabisan
kehabisan,kehabian
kehabisan,lahabih
kehamilan,kaadaan manganduang
kehamilan,pasal manganduang
kehancuran,ancai
kehancuran,ancua
kehancuran,jalang
kehidupan,iduik
kehidupan,kaidupan
kehilangan,kahilangan
kehilangan,kailangan
kehormatan,arago diri
kehormatan,kamuliaan
kehormatan,kaormatan
kehormatan,nama baiak
keinginan,kainginan
keinginan,kandak
kejadian,kajadian
kejadian,tajadi
kejahatan,kajahatan
kejaksaan,kajasaan
kejaksaan,kantua jasa
kejam,aniayo
kejam,garang
kejam,jahek
kejam,kajam
kejam,kejam
kejam,kojam
kejam,kojom
kejayaan,kabasaran
kejayaan,kaebaikan
kejayaan,kajayoan
kejujuran,kajujuaran
kejujuran,kaluruihan ati
kejutan,kajutan
kekasih,kakasiah
kekebalan,kaba
kekebalan,kakabalan
kekerasan,kakarehan
kekerasan,talampau kareh
kekhawatiran,kacamehan
kekhawatiran,kakuatiaran
kekuasaan,kakuasoan
kekuatan,dayo
kekuatan,kakuatan
kekurangan,kakurangan
kekurangan,sayuik
kelangsungan,kalansuangan
kelangsungan,kataruihtarangan
kelapa,kalapo
kelapa,karambia
kelas,"golongan, kalompok"
kelas,kalas
kelas,kelaih
kelas,ruang tampek beraja
keledai,kaladai
kelemahan,kalamahan
kelihatan,bantuaknyo
kelihatan,kaliatan
kelihatan,kaliek
kelihatan,kaliek'an
kelihatan,kalietan
kelihatan,kalihatan
kelihatan,kalihekannyo
kelihatan,nampak
kelihatan,nampaknyo
kelihatan,taliek
kelihatannya,kacaliak'annyo
kelihatannya,kacaliaknyo
kelihatannya,kalieaktannyo
kelihatannya,kalihatannyo
kelihatannya,kelihatannyo
kelihatannya,nampaknyo
kelima,kalimo
kelinci,kalinci
kelipatan,kalipatan
kelompok,golongan
kelompok,guguih
kelompok,kalompok
kelopak,kalupak
kelopak,palupuak
keluar,kalua
keluar,kaluah
keluar,kelua
keluarga,dunsanak
keluarga,kaluargo
keluarga,karabaik
keluarkan,kalua an
keluarkan,kalua'an
keluarkan,kaluaan
keluarkan,kaluakan
keluarkan,kaluan
keluarkan,kaluoan
keluarkan,kaluokan
kelucuan,kalucuan
keluhan,kaluahan
keluhan,keluhan
kemajuan,kamajuan
kemalangan,kamalangan
kemampuan,kakayoan
kemampuan,kakuatan
kemampuan,kamampuan
kemampuan,kasanggupan
kemana,ka ma
kemana,kama
kemana,kamano
kemana,kemano
kemari,kamai
kemari,kamari
kemari,kasiko
kemari,kesiko
kemari,komai
kemari,sinyak
kemarilah,kamarila
kemarilah,kamarilah
kemarilah,kasikolah
kemarilah,koken
kemarilah,sikolah
kemarin,kamarin
kemarin,kapatang
kemarin,patang
kemarin,potang
kematian,kamatian
kemauan,kamauan
kembali,balek
kembali,baliak
kembali,baliek
kembali,kambali
kembali,kumbali
kembalikan,baliak an
kembalikan,baliak'an
kembalikan,baliakan
kembalikan,baliakkan
kembalikan,baliekkan
kembalikan,balik an
kembalikan,kambalian
kembalikan,kambalikan
kembalikan,kembalian
kembalikan,pulangkan
kembalilah,balekla
kembalilah,baliak lah
kembalilah,baliaklah
kembalilah,balieklah
kembalilah,balioklah
kembalilah,kamarilah
kembalilah,kambalilah
kembalilah,"kambalilah, baliaklah"
kembalilah,pulanglah
kembar,kamba
kembar,rangkok duo
kemeja,kemeje
kemenangan,kamanangan
kemewahan,kamewahan
kemiskinan,kabansaikan
kemiskinan,kamusikinan
kemudi,kamudi
kemudi,pamarentah
kemudi,pamimpin
kemudi,sitir
kemudian,kamudian
kemudian,kudian
kemudian,lapehtu
kemudian,"sudah nin, kamudian"
kemuliaan,kamuliaan
kemungkinan,kamungkinan
kena,kana
kena,kanai
kena,konai
kena,kono
kenal,kana
kenal,kanal
kenal,kenal
kenal,konal
kenal,tau
kenalan,bakanalan
kenalan,bakatauan
kenalan,kawan
kenangan,babakeh
kenangan,bakeh di ingatan
kenangan,kanangan
kenapa,abek
kenapa,baa
kenapa,dek'a
kenapa,ma nga
kenapa,manga
kenapa,mangapo
kenapa,ngapo
kencan,bacewek
kencan,bacinto
kencan,bapole
kencan,kancan
kencan,kencan
kencan,kencan/pai jalan
kencan,mejeng
kencing,kanciang
kendali,tali aruang
kendali,tali kakang
kendali,tali kaluan
kengerian,kengerian
kentang,kantang
kenyamanan,kanyamanan
kenyataan,kanyataan
kepada,jo
kepada,ka
kepada,kapado
kepada,kepado
kepada,untuak
kepadanya,bakehnyo
kepadanya,kainyo
kepadanya,kapadonyo
kepadanya,kepadonyo
kepadanya,padanyo
kepala,kapalo
kepala,pamimpin
kepala,urang
kepalanya,kapalonya
kepalanya,kapalonyo
kepalanya,kepalanyo
kepalanya,kepalonyo
keparat,bangsat
keparat,kaparaik
keparat,kaparat
keparat,kaparek
keparat,keparat
keparat,kurang aja
keparat,tumbuang
kepentingan,kapantiangan
kepentingan,kaparaluan
keperluan,kapantiangan
keperluan,kaparaluan
keperluan,mukasuik
keping,kapiang
kepolisian,kapolisioan
keponakan,kamanakan
kepopuleran,kapopuleran
kepribadian,kapribadian
kepuasan,kasanangan
keputusan,kaputusan
kerabat,dunsanak
kerabat,karabaik
kerabat,pamili
kerah,maimpun
kerah,mangarahan
kerah,mangumpuaan
kerah,tadi
kerajaan,karajaan
kerang,karang
kerang,langkitang
kerang,sabanso cipuik
kerangka,karangko
kerangka,rancangan
keranjang,karanjang
keras,kare
keras,kareh
keras,koreh
keras,kuek
kerbau,kabau
kerbau,urang dongak
keren,ancak
keren,elok
keren,gagah
keren,keren
keren,rancak
keren,"rancak, gagah"
keren,segeh
kereta,bendi
kereta,garobak
kereta,kereta api
keringat,keringek
keringat,paluah
keripik,karipik
keripik,karupuak
keriting,karitiang
kerja,karajo
kerja,korojo
kerja,kureh
kertas,karateh
kerusakan,karusakan
kesaksian,kasasian
kesal,kesal
kesalahan,kasalahan
kesana,kaken
kesana,kasinan
kesana,kasiten
kesana,kasitu
kesana,kesano
kesayangan,cinto kasiah
kesayangan,kasayangan
kesayangan,sayang
kesedihan,kaiboan
kesedihan,kasadiahan
kesehatan,kasiatan
keselamatan,kasalamatan
kesempatan,kasampatan
kesempatan,kasempatan
kesempatan,peluang
kesenangan,kalamakan
kesenangan,kasanangan
kesenangan,kasukoan
kesepakatan,kasapakatan
kesepian,kalingauan
kesepian,kasunyian
kesulitan,kasulitan
ketahui,katahui
ketahui,ketahui
ketahui,ngarati
ketahui,obe
ketakutan,katakuik
ketakutan,katakuik an
ketakutan,katakuik'an
ketakutan,katakuikan
ketakutan,katakuiktan
ketakutan,katakuitan
ketakutan,ketakuikan
ketakutan,takuik
ketawa,galak
ketemu,basobok
ketemu,basuo
ketemu,batamu
ketemu,jumpo
ketemu,katamu
ketemu,sobok
ketemu,tasabok
ketemu,tasobok
ketiga,katigo
ketika,katiko
ketinggian,katinggian
ketrampilan,katrampilan
ketua,katua
ketukan,ketukan
keturunan,katurunan
keuangan,kauangan
keuangan,urusan pitih
keuntungan,kauntuangan 
keuntungan,kauntungan
keuntungan,labo
keyakinan,kapicayoan
keyakinan,kayakinan
khawatir,cameh
khawatir,come
khawatir,gaduah
khawatir,khawatia
khawatir,khawatir
khawatir,risau
khawatir,takuik
khusus,khusuih
khusus,khusus
kidal,kedoh
kidal,kepoh
kidal,kiduah
kilat,cahayo
kilat,kilek
kimia,kimia
kini,kini
kipas,baliang-baliang
kipas,kipeh
kira,kiro
kiri,kepoh
kiri,kida
kiri,kiduah
kirim,antar
kirim,bakirim
kirim,kirim
kirimkan,kiriman
kisah,kisah
kita,awak
kita,"awak, kito"
kita,kita
kita,kito
klien,palanggan
klik,klik
